captureArrivalUs,rifeStartUs,rifeEndUs,presentedUs,inferenceMs,dropped
5056176,5056408,5089321,5090261,32.912,0
5090499,5090903,5123612,5124523,32.709,0
5124840,5125300,5157125,5158377,31.825,0
5159192,5160292,5193712,5194526,33.420,0
5194853,5195264,5228187,5228635,32.924,0
5228929,5229186,5261227,5262098,32.041,0
5262526,5262959,5295692,5297016,32.733,0
5297429,5298089,5331049,5331467,32.960,0
5331716,5332081,5364091,5364544,32.011,0
5364887,5365141,5398114,5398755,32.973,0
5399209,5400038,5433072,5433900,33.034,0
5434876,5435296,5468665,5469613,33.369,0
5470130,5471064,5503889,5504429,32.824,0
5504819,5505215,5537275,5538969,32.061,0
5539575,5540748,5573999,5574934,33.250,0
5575742,5576289,5609333,5610605,33.044,0
5610986,5611576,5643660,5644027,32.084,0
5644337,5644542,5676613,5677034,32.071,0
5677886,5678096,5711156,5711831,33.060,0
5712136,5712525,5744884,5745907,32.358,0
5746298,5747108,5779826,5780764,32.718,0
5781485,5781995,5814792,5815681,32.796,0
5816146,5816518,5849889,5851812,33.371,0
5852892,5853892,5886202,5887035,32.310,0
5887401,5887832,5919759,5920796,31.927,0
5921282,5921889,5955717,5957022,33.828,0
5957358,5957859,5990762,5991284,32.904,0
5991663,5991946,6024659,6027294,32.713,0
6028167,6028994,6060853,6061984,31.860,0
6062485,6063020,6095945,6097295,32.925,0
6097387,6098108,6131328,6133212,33.220,0
6167947,0,0,6168076,0.000,0
6167947,6168317,6200124,6200569,31.808,0
6200793,6201029,6233552,6233929,32.523,0
6234202,6234411,6267580,6268181,33.169,0
6268377,6268700,6300895,6303279,32.195,0
6303835,6305040,6338346,6338833,33.306,0
6339117,6339438,6372664,6373467,33.226,0
6373910,6374399,6407090,6407968,32.692,0
6408544,6409186,6441151,6443293,31.965,0
6444152,6445489,6478423,6478923,32.934,0
6479267,6479587,6512068,6512947,32.481,0
6513444,6513954,6546571,6547272,32.617,0
6547822,6548503,6580650,6581601,32.146,0
6582109,6582542,6616192,6617393,33.650,0
6617752,6618927,6652055,6653525,33.128,0
6653893,6654526,6687504,6689461,32.978,0
6690257,6690988,6723058,6723946,32.070,0
6724593,6725079,6757454,6758027,32.375,0
6758567,6758922,6791654,6792172,32.732,0
6792605,6792924,6825694,6826930,32.770,0
6828028,6828823,6861252,6861848,32.429,0
6896433,0,0,6896617,0.000,0
6896433,6896957,6930634,6931180,33.677,0
6931290,6931966,6964278,6966216,32.312,0
6966273,6966494,6998301,6999386,31.807,0
6999888,7000698,7034058,7034422,33.359,0
7034740,7034946,7067334,7067745,32.387,0
7068015,7068222,7100175,7101132,31.953,0
7101744,7102253,7135257,7136002,33.004,0
7136946,7138514,7172147,7172960,33.633,0
7173532,7174105,7207174,7208106,33.069,0
7208330,7208785,7241321,7242240,32.536,0
7276041,0,0,7276124,0.000,0
7276041,7276715,7309515,7311078,32.801,0
7311905,7313012,7345601,7346007,32.589,0
7346212,7346418,7378363,7378910,31.945,0
7379284,7379587,7412795,7413688,33.209,0
7413975,7414866,7449135,7449706,34.269,0
7450081,7450469,7482652,7484249,32.182,0
7484928,7486260,7518923,7519693,32.663,0
7520291,7520915,7553926,7554740,33.012,0
7555030,7555463,7588835,7589438,33.372,0
7625464,0,0,7626484,0.000,0
7625464,7626855,7658945,7659321,32.090,0
7659566,7659776,7692640,7693452,32.864,0
7693786,7694203,7727544,7727928,33.341,0
7728146,7728413,7760213,7760892,31.799,0
7761239,7761662,7794580,7796516,32.917,0
7797074,7798217,7831555,7833281,33.339,0
7833684,7834458,7866886,7867309,32.428,0
7867614,7867836,7899495,7900103,31.659,0
7900442,7900736,7933145,7934113,32.409,0
7971369,0,0,7971378,0.000,0
7971369,7972617,8005239,8005782,32.622,0
8006098,8006367,8037962,8038485,31.595,0
8038799,8039070,8072293,8073332,33.224,0
8073922,8074450,8107802,8108819,33.352,0
8109149,8109701,8142944,8145013,33.243,0
8145602,8147424,8179385,8181687,31.961,0
8181818,8182923,8216033,8216800,33.109,0
8217433,8217929,8250544,8251323,32.615,0
8251795,8252618,8286098,8286707,33.479,0
8287101,8287512,8319693,8321732,32.181,0
8322185,8322802,8354788,8355172,31.986,0
8355400,8355610,8388037,8389144,32.427,0
8389681,8390393,8423176,8423915,32.784,0
8459599,0,0,8459659,0.000,0
8459599,8461162,8494481,8494959,33.319,0
8495410,8495925,8529581,8530405,33.656,0
8530795,8531191,8563975,8565107,32.783,0
8565152,8565888,8598690,8599339,32.803,0
8599673,8600100,8632739,8634760,32.639,0
8635580,8636663,8669592,8670436,32.929,0
8670724,8671137,8703575,8704450,32.438,0
8705029,8705679,8738228,8739509,32.549,0
8740288,8741382,8774053,8774871,32.672,0
8775204,8775999,8809121,8810419,33.122,0
8810756,8811235,8843429,8843890,32.194,0
8844187,8844506,8876709,8877087,32.204,0
8877438,8877642,8910825,8912730,33.184,0
8913812,8915016,8947383,8948811,32.366,0
8949087,8949621,8982367,8983113,32.746,0
8983453,8983957,9017104,9017892,33.147,0
9018338,9018698,9051655,9052064,32.957,0
9087008,0,0,9087130,0.000,0
9087008,9087482,9120004,9122047,32.522,0
9122655,9122948,9155339,9156001,32.391,0
9156369,9156674,9189757,9190482,33.083,0
9190737,9191106,9223661,9224876,32.555,0
9225128,9225665,9257853,9259130,32.188,0
9260337,9262362,9295929,9297125,33.567,0
9297410,9297977,9331172,9332379,33.196,0
9332747,9333408,9365883,9366291,32.476,0
9366606,9366868,9398815,9399546,31.947,0
9436795,0,0,9437308,0.000,0
9436795,9438433,9472610,9473684,34.176,0
9475407,9477088,9510974,9511523,33.886,0
9511788,9512066,9544343,9546099,32.276,0
9546781,9547734,9579626,9580166,31.892,0
9580421,9580677,9613152,9614001,32.475,0
9614360,9614930,9648401,9649851,33.471,0
9650719,9651733,9684315,9684678,32.582,0
9684904,9685118,9716820,9717698,31.702,0
9718357,9718996,9751931,9752738,32.935,0
9753204,9753945,9787857,9788919,33.911,0
9789497,9790006,9821769,9823233,31.763,0
9824151,9825430,9858500,9860350,33.070,0
9861065,9861959,9894469,9895779,32.510,0
9896149,9896999,9930828,9931868,33.829,0
9932221,9932695,9965270,9967195,32.576,0
9967958,9968506,10000719,10002312,32.214,0
10002840,10003771,10036564,10037241,32.794,0
10037939,10038513,10071731,10072635,33.218,0
10073112,10073618,10106991,10107638,33.373,0
10108144,10108546,10140983,10142358,32.438,0
10142830,10143330,10175821,10176675,32.491,0
10176994,10177526,10210262,10211630,32.736,0
10211949,10212456,10244892,10245717,32.436,0
10246748,10247886,10280897,10282776,33.011,0
10283103,10283601,10316273,10316774,32.672,0
10317066,10317467,10350317,10351285,32.851,0
10351703,10352242,10384718,10385211,32.476,0
10385595,10385862,10418102,10419860,32.239,0
10420781,10421436,10455033,10455983,33.597,0
10456282,10457122,10490165,10490566,33.043,0
10490897,10491102,10523835,10524933,32.733,0
10525281,10525780,10558000,10558936,32.219,0
10559668,10560789,10595235,10596235,34.446,0
10596748,10597623,10631000,10631932,33.378,0
10632421,10632967,10666006,10667346,33.039,0
10703011,0,0,10703090,0.000,0
10703011,10704066,10737942,10738528,33.876,0
10738760,10739160,10771643,10772331,32.482,0
10772657,10772970,10806210,10807507,33.241,0
10807947,10808579,10841048,10842233,32.470,0
10842508,10843112,10875501,10875866,32.388,0
10876083,10876395,10909060,10909558,32.664,0
10909800,10910006,10942644,10944807,32.638,0
10944870,10945221,10977307,10978317,32.086,0
10979071,10979711,11013060,11013775,33.349,0
11014058,11014572,11047661,11048101,33.089,0
11048431,11048661,11080960,11081402,32.299,0
11081694,11082016,11114761,11117027,32.745,0
11117087,11118110,11151208,11151907,33.098,0
11152273,11152647,11185471,11186764,32.824,0
11187052,11187686,11220352,11221540,32.667,0
11222034,11222500,11254917,11257336,32.417,0
11258090,11259508,11292447,11293496,32.939,0
11293974,11294494,11327970,11329010,33.475,0
11329398,11329936,11362433,11363150,32.498,0
11363806,11364950,11397126,11397596,32.176,0
11397861,11398169,11430843,11431652,32.674,0
11432155,11432828,11465793,11466794,32.965,0
11467188,11467671,11500158,11501112,32.486,0
11501383,11501983,11536133,11536778,34.150,0
11537697,11538096,11571407,11572392,33.311,0
11609768,0,0,11610408,0.000,0
11609768,11611276,11643858,11645369,32.581,0
11646155,11647213,11679940,11680330,32.727,0
11680526,11680742,11713405,11714410,32.664,0
11750734,0,0,11750769,0.000,0
11750734,11751714,11783920,11785468,32.206,0
11785995,11787314,11820615,11821524,33.301,0
11821902,11822380,11854546,11855875,32.166,0
11856340,11856870,11890087,11891150,33.217,0
11926636,0,0,11927189,0.000,0
11926636,11928400,11961473,11962739,33.074,0
11963082,11963623,11996072,11997008,32.449,0
11997450,11997933,12030526,12031873,32.593,0
12032313,12033230,12066627,12068065,33.398,0
12102514,0,0,12102980,0.000,0
12102514,12103334,12135895,12136761,32.561,0
12172436,0,0,12172773,0.000,0
12172436,12173752,12207768,12208498,34.016,0
12208830,12209286,12241680,12242322,32.395,0
12242541,12242805,12274843,12275469,32.038,0
12275817,12276162,12309274,12310350,33.112,0
12346003,0,0,12346490,0.000,0
12382352,12383485,0,12383509,0.000,0
12382352,12383485,12415809,12416184,32.324,0
